,Date,DailyCases,vix,sp,xal
0,1/2/2020,0,12.47,3257.850098,111.010002
1,1/3/2020,0,14.02,3234.850098,108.860001
2,1/6/2020,0,13.85,3246.280029,107.699997
3,1/7/2020,0,13.79,3237.179932,107.769997
4,1/8/2020,0,13.45,3253.050049,108.669998
5,1/9/2020,0,12.54,3274.699951,109.199997
6,1/10/2020,0,12.56,3265.350098,109.25
7,1/13/2020,0,12.32,3288.129883,109.309998
8,1/14/2020,0,12.39,3283.149902,110.010002
9,1/15/2020,0,12.42,3289.290039,110.160004
10,1/16/2020,0,12.32,3316.810059,112.199997
11,1/17/2020,0,12.1,3329.620117,112.360001
12,1/21/2020,0,12.85,3320.790039,109.379997
13,1/22/2020,1,12.91,3321.75,110.110001
14,1/23/2020,0,12.98,3325.540039,112.269997
15,1/24/2020,1,14.56,3295.469971,110.57
16,1/27/2020,1,18.23,3243.629883,106.900002
17,1/28/2020,0,16.280001,3276.23999,108.669998
18,1/29/2020,1,16.389999,3273.399902,107.940002
19,1/30/2020,0,15.49,3283.659912,109.139999
20,1/31/2020,1,18.84,3225.52002,106.800003
21,2/3/2020,2,17.969999,3248.919922,107.529999
22,2/4/2020,0,16.049999,3297.590088,110.5
23,2/5/2020,0,15.15,3334.689941,112.379997
24,2/6/2020,0,14.96,3345.780029,110.529999
25,2/7/2020,0,15.47,3327.709961,109.660004
26,2/10/2020,0,15.04,3352.090088,109.230003
27,2/11/2020,1,15.18,3357.75,110.949997
28,2/12/2020,0,13.74,3379.449951,112.699997
29,2/13/2020,1,14.15,3373.939941,112.529999
30,2/14/2020,0,13.68,3380.159912,111.589996
31,2/18/2020,1,14.83,3370.290039,110.269997
32,2/19/2020,0,14.38,3386.149902,109.440002
33,2/20/2020,0,15.56,3373.22998,109.599998
34,2/21/2020,3,17.08,3337.75,108.5
35,2/24/2020,1,25.030001,3225.889893,101.82
36,2/25/2020,0,27.85,3128.209961,96.510002
37,2/26/2020,2,27.559999,3116.389893,91.739998
38,2/27/2020,1,39.16,2978.76001,86.419998
39,2/28/2020,2,40.110001,2954.219971,83.830002
40,3/2/2020,22,33.419998,3090.22998,83.870003
41,3/3/2020,19,36.82,3003.370117,80.730003
42,3/4/2020,35,31.99,3130.120117,83.029999
43,3/5/2020,66,39.619999,3023.939941,75.279999
44,3/6/2020,49,41.939999,2972.370117,75.580002
45,3/9/2020,259,54.459999,2746.560059,69.910004
46,3/10/2020,275,47.299999,2882.22998,74.940002
47,3/11/2020,229,53.900002,2741.379883,68.809998
48,3/12/2020,387,75.470001,2480.639893,55.580002
49,3/13/2020,529,57.830002,2711.02002,60.279999
50,3/16/2020,909,82.690002,2386.129883,50.709999
51,3/17/2020,1775,75.910004,2529.189941,48.580002
52,3/18/2020,2755,76.449997,2398.100098,37.169998
53,3/19/2020,4864,72,2409.389893,36.880001
54,3/20/2020,4886,66.040001,2304.919922,37.759998
55,3/23/2020,9807,61.59,2237.399902,38.580002
56,3/24/2020,9933,61.669998,2447.330078,46.25
57,3/25/2020,14189,63.950001,2475.560059,50.759998
58,3/26/2020,16124,61,2630.070068,52.459999
59,3/27/2020,16443,65.540001,2541.469971,48.080002
60,3/30/2020,20924,57.080002,2626.649902,45.16
61,3/31/2020,23287,53.540001,2584.590088,45.259998
62,4/1/2020,24586,57.060001,2470.5,40.09
63,4/2/2020,28312,50.91,2526.899902,38.599998
64,4/3/2020,35550,46.799999,2488.649902,37.450001
65,4/6/2020,29917,45.240002,2663.679932,39.939999
66,4/7/2020,31683,46.700001,2659.409912,42.630001
67,4/8/2020,33012,43.349998,2749.97998,44.709999
68,4/9/2020,33573,41.669998,2789.820068,48.259998
69,4/13/2020,24633,41.169998,2761.629883,45.849998
70,4/14/2020,25878,37.759998,2846.060059,47.66
71,4/15/2020,30276,40.84,2783.360107,47.369999
72,4/16/2020,32584,40.110001,2799.550049,44.119999
73,4/17/2020,30912,38.150002,2874.560059,46.330002
74,4/20/2020,26358,43.830002,2823.159912,44.869999
75,4/21/2020,25254,45.41,2736.560059,43.959999
76,4/22/2020,28606,41.98,2799.310059,42.759998
77,4/23/2020,31299,41.380001,2797.800049,43.130001
78,4/24/2020,37256,35.93,2836.73999,42.889999
79,4/27/2020,22863,33.290001,2878.47998,42.619999
80,4/28/2020,24227,33.57,2863.389893,46.759998
81,4/29/2020,27875,31.23,2939.51001,51.740002
82,4/30/2020,28895,34.150002,2912.429932,50.259998
83,5/1/2020,33441,37.189999,2830.709961,46.009998
84,5/4/2020,21850,35.970001,2842.73999,44.549999
85,5/5/2020,23427,33.610001,2868.439941,43.41
86,5/6/2020,24281,34.119999,2848.419922,41.529999
87,5/7/2020,27221,31.440001,2881.189941,41.740002
88,5/8/2020,27034,27.98,2929.800049,44.779999
89,5/11/2020,19219,27.57,2930.189941,43.07
90,5/12/2020,21288,33.040001,2870.120117,41.259998
91,5/13/2020,21028,35.279999,2820,39.330002
92,5/14/2020,26424,32.610001,2852.5,39.16
93,5/15/2020,24635,31.889999,2863.699951,38.650002
94,5/18/2020,20933,29.299999,2953.909912,44.110001
95,5/19/2020,20599,30.530001,2922.939941,42.91
96,5/20/2020,22543,27.99,2971.610107,45.209999
97,5/21/2020,25542,29.530001,2948.51001,46.169998
98,5/22/2020,23599,28.16,2955.449951,45.52
99,5/26/2020,17832,28.01,2991.77002,50.07
100,5/27/2020,18458,27.620001,3036.129883,51.880001
101,5/28/2020,22451,28.59,3029.72998,49.290001
102,5/29/2020,24817,27.51,3044.310059,48.580002
103,6/1/2020,21281,28.23,3055.72998,50.580002
104,6/2/2020,19289,26.84,3080.820068,52.439999
105,6/3/2020,19633,25.66,3122.870117,57.150002
106,6/4/2020,21811,25.809999,3112.350098,62.939999
107,6/5/2020,28078,24.52,3193.929932,66.489998
108,6/8/2020,17757,25.809999,3232.389893,74.459999
109,6/9/2020,18546,27.57,3207.179932,68.970001
110,6/10/2020,20464,27.57,3190.139893,62.709999
111,6/11/2020,22264,40.790001,3002.100098,53.189999
112,6/12/2020,25635,36.09,3041.310059,59.189999
113,6/15/2020,18723,34.400002,3066.590088,59.549999
114,6/16/2020,25048,33.669998,3124.73999,60.799999
115,6/17/2020,24140,33.470001,3113.48999,59.459999
116,6/18/2020,27305,32.939999,3115.340088,58.959999
117,6/19/2020,31192,35.119999,3097.73999,57.380001
118,6/22/2020,29835,31.77,3117.860107,56.049999
119,6/23/2020,35014,31.370001,3131.290039,57.139999
120,6/24/2020,35225,33.84,3050.330078,52.77
121,6/25/2020,38499,32.220001,3083.76001,53.990002
122,6/26/2020,45881,34.73,3009.050049,51.91
123,6/29/2020,38708,31.780001,3053.23999,55.150002
124,6/30/2020,47289,30.43,3100.290039,54.16
125,7/1/2020,48951,28.620001,3115.860107,53.709999
126,7/2/2020,54365,27.68,3130.01001,53.66
127,7/6/2020,53416,27.940001,3179.719971,55.060001
128,7/7/2020,56522,29.43,3145.320068,52.720001
129,7/8/2020,56998,28.08,3169.939941,53.009998
130,7/9/2020,61300,29.26,3152.050049,50.25
131,7/10/2020,69162,27.290001,3185.040039,53.139999
132,7/13/2020,55166,32.189999,3155.219971,52.040001
133,7/14/2020,66936,29.52,3197.52002,52.040001
134,7/15/2020,64996,27.76,3226.560059,57.130001
135,7/16/2020,79974,28,3215.570068,54.880001
136,7/17/2020,67516,25.68,3224.72998,53.849998
137,7/20/2020,58412,24.459999,3251.840088,52.34
138,7/21/2020,66656,24.84,3257.300049,53.34
139,7/22/2020,67014,24.32,3276.02002,53.099998
140,7/23/2020,68156,26.08,3235.659912,53.279999
141,7/24/2020,73070,25.84,3215.629883,52.09
142,7/27/2020,57083,24.74,3239.409912,51.490002
143,7/28/2020,63911,25.440001,3218.439941,52.84
144,7/29/2020,65354,24.1,3258.439941,51.689999
145,7/30/2020,70376,24.76,3246.219971,51.169998
146,7/31/2020,66042,24.459999,3271.120117,50.400002
147,8/3/2020,49708,24.280001,3294.610107,50.009998
148,8/4/2020,52425,23.76,3306.51001,51.220001
149,8/5/2020,53487,22.99,3327.77002,52.98
150,8/6/2020,56343,22.65,3349.159912,54.470001
151,8/7/2020,60973,22.209999,3351.280029,54.27
152,8/10/2020,42335,22.129999,3360.469971,57.060001
153,8/11/2020,56603,24.030001,3333.689941,58.369999
154,8/12/2020,52918,22.280001,3380.350098,57.75
155,8/13/2020,51648,22.129999,3373.429932,56.84
156,8/14/2020,57352,22.049999,3372.850098,57.389999
157,8/17/2020,40244,21.35,3381.98999,55.34
158,8/18/2020,41337,21.51,3389.780029,55.490002
159,8/19/2020,45092,22.540001,3374.850098,55.540001
160,8/20/2020,43689,22.719999,3385.51001,55.549999
161,8/21/2020,49405,22.540001,3397.159912,54.849998
162,8/24/2020,39662,22.370001,3431.280029,58.860001
163,8/25/2020,38371,22.030001,3443.620117,58.560001
164,8/26/2020,45793,23.27,3478.72998,57.330002
165,8/27/2020,45807,24.469999,3484.550049,59.57
166,8/28/2020,44915,22.959999,3508.01001,61.529999
167,8/31/2020,35585,26.41,3500.310059,59.07
168,9/1/2020,42987,26.120001,3526.649902,59.419998
169,9/2/2020,39839,26.57,3580.840088,60.689999
170,9/3/2020,42782,33.599998,3455.060059,60.77
171,9/4/2020,49380,30.75,3426.959961,60.77
172,9/8/2020,23256,31.459999,3331.840088,62.209999
173,9/9/2020,34739,28.809999,3398.959961,60.970001
174,9/10/2020,36867,29.709999,3339.189941,61.25
175,9/11/2020,46047,26.870001,3340.969971,61.099998
176,9/14/2020,46839,25.85,3383.540039,63.009998
177,9/15/2020,41108,25.59,3401.199951,63.09
178,9/16/2020,40524,26.040001,3385.48999,65.059998
179,9/17/2020,43870,26.459999,3357.01001,63.959999
180,9/18/2020,48507,25.83,3319.469971,61.91
181,9/21/2020,37274,27.780001,3281.060059,61.91
182,9/22/2020,49767,26.860001,3315.570068,57.439999
183,9/23/2020,39060,28.58,3236.919922,56.099998
184,9/24/2020,42194,28.51,3246.590088,55.68
185,9/25/2020,57207,26.379999,3298.459961,56.619999
